id;full_name;age;gender
332;Синклитикия Игоревна Лапина;55;Ж
333;Громов Василий Феликсович;57;М
334;Аверкий Валерьянович Третьяков;33;М
335;Киселев Михаил Богданович;54;М
336;Шубин Варфоломей Данилович;42;М
337;Станимир Димитриевич Корнилов;47;М
338;Алла Рубеновна Овчинникова;27;Ж
339;Агафонов Савва Жанович;58;М
340;Дементьев Конон Витальевич;50;М
341;Коновалов Онуфрий Власович;64;М
342;Наталья Кузьминична Лобанова;38;Ж
343;Субботина Маргарита Ждановна;52;Ж
344;Надежда Андреевна Соболева;50;Ж
345;Зуева София Аскольдовна;56;Ж
346;Ираида Николаевна Наумова;38;Ж
347;Светлана Леонидовна Галкина;43;Ж
348;Ким Игнатович Афанасьев;48;М
349;Светлана Рудольфовна Сафонова;55;Ж
350;Панов Аполлон Гертрудович;28;М
351;Мясникова Ольга Романовна;45;Ж
352;Любовь Феликсовна Бирюкова;50;Ж
353;Журавлев Анисим Игоревич;55;М
354;Воробьев Филимон Анатольевич;52;М
355;Журавлев Софон Эдгардович;58;М
356;Белозерова Вера Руслановна;53;Ж
357;Самсон Ермилович Чернов;35;М
358;Полина Кирилловна Попова;43;Ж
359;Иннокентий Виленович Голубев;36;М
360;Медведев Каллистрат Федосеевич;51;М
361;Копылова Лариса Тимофеевна;33;Ж
362;Якуб Владиленович Некрасов;34;М
363;Иванова Лора Ждановна;35;Ж
364;Дмитриев Нестор Елисеевич;42;М
365;Ладимир Игнатович Михеев;31;М
366;Тамара Афанасьевна Шашкова;33;Ж
367;Алексей Власович Дмитриев;33;М
368;Клавдия Романовна Кузьмина;50;Ж
369;Меркушева Таисия Тимофеевна;62;Ж
370;Юлия Кузьминична Бурова;50;Ж
371;Колобова Василиса Борисовна;52;Ж
372;Быкова Екатерина Матвеевна;37;Ж
373;Агафья Оскаровна Прохорова;44;Ж
374;Евпраксия Игоревна Борисова;30;Ж
375;Лука Филатович Власов;58;М
376;Евгения Константиновна Гущина;58;Ж
377;Карп Глебович Колобов;59;М
378;Куликова Клавдия Максимовна;49;Ж
379;Киселев Юлиан Елисеевич;46;М
380;Ираида Юрьевна Большакова;50;Ж
381;Поляков Аверьян Федосьевич;48;М
382;Акулина Ждановна Сазонова;28;Ж
383;Герасимов Гаврила Юльевич;55;М
384;Афанасьева Лора Феликсовна;47;Ж
385;Белоусов Феликс Всеволодович;37;М
386;Исаева Глафира Яковлевна;41;Ж
387;Спиридон Евстигнеевич Фадеев;55;М
388;Чернов Всеслав Андреевич;41;М
389;Громов Аркадий Анисимович;27;М
390;Лука Юлианович Тимофеев;30;М
391;Харитон Григорьевич Третьяков;29;М
392;Силантий Иосифович Фролов;57;М
393;Елизавета Святославовна Кононова;55;Ж
394;Зинаида Вадимовна Богданова;34;Ж
395;Евдокия Робертовна Фомичева;45;Ж
396;Лукьян Архипович Ильин;49;М
397;Дементий Еремеевич Лихачев;52;М
398;Некрасова Милица Богдановна;28;Ж
399;Фадей Ааронович Одинцов;30;М
400;Князева Василиса Кузьминична;51;Ж
401;Архипов Матвей Денисович;62;М
402;г-н Шарапов Андрон Феодосьевич;38;М
403;Марков Кирилл Филатович;46;М
404;Алина Тарасовна Емельянова;57;Ж
405;Святослав Адрианович Лихачев;63;М
406;Андрей Виленович Богданов;28;М
407;Антонина Оскаровна Блинова;28;Ж
408;Сильвестр Адамович Яковлев;39;М
409;Варвара Тимофеевна Селиверстова;44;Ж
410;тов. Мишин Селиверст Вилорович;29;М
411;Кононов Трифон Валерианович;55;М
412;Родионов Мартын Измаилович;26;М
413;тов. Маслова Жанна Егоровна;60;Ж
414;Елизавета Алексеевна Орехова;32;Ж
415;Клавдия Кирилловна Анисимова;63;Ж
416;Фаина Яковлевна Крылова;35;Ж
417;Доброслав Фролович Максимов;33;М
418;Белова Ирина Ниловна;29;Ж
419;Наталья Аркадьевна Архипова;59;Ж
420;Савина Лидия Ивановна;32;Ж
421;Ульяна Вадимовна Чернова;41;Ж
422;Федосеев Вышеслав Эдгарович;48;М
423;Зимин Соломон Валерьянович;57;М
424;Селиверстова Нинель Тимофеевна;38;Ж
425;Раиса Валериевна Жукова;65;Ж
426;Вера Аркадьевна Маслова;35;Ж
427;Анжелика Вениаминовна Фадеева;33;Ж
428;Евдокимова Алла Святославовна;46;Ж
429;Влас Венедиктович Хохлов;64;М
430;Павлова Валерия Эдуардовна;45;Ж
431;Лидия Петровна Кудрявцева;31;Ж
432;Блохин Лука Тимурович;46;М
433;Анжела Эльдаровна Дроздова;40;Ж
434;Фомичева Маргарита Эдуардовна;50;Ж
435;Остромир Захарьевич Ильин;57;М
436;Всеволод Артёмович Жуков;41;М
437;Тимофеев Велимир Брониславович;35;М
438;Лучезар Дорофеевич Моисеев;40;М
439;Савин Любомир Харламович;41;М
440;Тимофеев Евсей Гаврилович;48;М
441;Элеонора Евгеньевна Фокина;43;Ж
442;Кондратьев Лукьян Валентинович;27;М
443;Эмиль Филиппович Котов;63;М
444;Александров Егор Богданович;51;М
445;Пономарев Антонин Денисович;25;М
446;Копылова Синклитикия Петровна;56;Ж
447;Юдин Лазарь Харлампович;61;М
448;Фаина Максимовна Мясникова;45;Ж
449;Фадеева Светлана Егоровна;53;Ж
450;Яков Авдеевич Федотов;38;М
451;Лев Анисимович Пестов;51;М
452;Казимир Арсеньевич Абрамов;36;М
453;Орлов Аскольд Иосипович;26;М
454;Никонов Доброслав Валерьевич;25;М
455;Вероника Андреевна Александрова;30;Ж
456;Владимиров Милий Викторович;65;М
457;Любосмысл Афанасьевич Степанов;26;М
458;Блинов Фортунат Владиленович;64;М
459;Мстислав Захарьевич Никонов;47;М
460;Панов Софон Венедиктович;55;М
461;Рогова София Степановна;51;Ж
462;Эрнест Матвеевич Доронин;54;М
463;Евгения Ждановна Якушева;61;Ж
464;Селиверст Матвеевич Самойлов;38;М
465;Творимир Александрович Архипов;27;М
466;Татьяна Антоновна Родионова;62;Ж
467;Дарья Геннадиевна Медведева;52;Ж
468;Ангелина Болеславовна Щукина;33;Ж
469;Миронов Остромир Аксёнович;42;М
470;Журавлева Анжелика Семеновна;52;Ж
471;Кириллов Юлиан Чеславович;42;М
472;Жукова Алина Феликсовна;60;Ж
473;Вера Артемовна Николаева;63;Ж
474;Мирон Венедиктович Кондратьев;25;М
475;Макар Чеславович Крылов;44;М
476;Устин Феоктистович Сергеев;46;М
477;Нестор Жанович Емельянов;32;М
478;Фаина Афанасьевна Филиппова;31;Ж
479;Макар Феофанович Александров;42;М
480;Артемьева Таисия Владиславовна;33;Ж
481;Терентий Евстигнеевич Карпов;52;М
482;Панов Ладимир Феоктистович;29;М
483;Колобов Казимир Евстигнеевич;42;М
484;Ангелина Феликсовна Новикова;41;Ж
485;тов. Пономарева Наина Юльевна;48;Ж
486;Мокей Елисеевич Носов;27;М
487;Орлова Ксения Архиповна;59;Ж
488;Костин Ерофей Иларионович;47;М
489;Галина Романовна Григорьева;37;Ж
490;Мельников Андрей Валерьевич;44;М
491;Виктория Петровна Овчинникова;33;Ж
492;Русаков Вацлав Владиславович;39;М
493;Вишнякова Валентина Владиславовна;27;Ж
494;Орлов Гурий Иларионович;52;М
495;Ермолай Арсеньевич Яковлев;35;М
496;Агап Витальевич Блохин;56;М
497;Ия Владимировна Белякова;46;Ж
498;Суворов Парфен Гордеевич;28;М
499;Клавдий Антонович Мартынов;56;М
500;Ангелина Ждановна Дмитриева;32;Ж
501;Сидоров Елисей Елизарович;49;М
502;Муравьева Екатерина Вадимовна;50;Ж
503;Пестова Ия Харитоновна;37;Ж
504;Волкова Наталья Валентиновна;44;Ж
505;Ефремова Ираида Ждановна;42;Ж
506;Вера Архиповна Молчанова;54;Ж
507;Азарий Борисович Архипов;33;М
508;Всеволод Харлампович Филатов;60;М
509;Ольга Максимовна Кириллова;44;Ж
510;Емельян Георгиевич Гордеев;48;М
511;Кириллов Боян Демидович;48;М
512;Наталья Романовна Жданова;28;Ж
513;Шилова Анастасия Викторовна;45;Ж
514;Комарова Алла Тимофеевна;44;Ж
515;Елисеев Аверкий Юльевич;52;М
516;Ипатий Евсеевич Бобылев;52;М
517;Лукия Юрьевна Богданова;54;Ж
518;Максим Даниилович Гусев;40;М
519;Капустина Людмила Юльевна;36;Ж
520;Козлов Антип Борисович;41;М
521;Архипова Надежда Филипповна;61;Ж
522;Кузнецов Феликс Демьянович;35;М
523;Зосима Абрамович Дмитриев;50;М
524;Панкратий Юлианович Зыков;61;М
525;Иванна Харитоновна Титова;36;Ж
526;Элеонора Эльдаровна Давыдова;48;Ж
527;Екатерина Юрьевна Новикова;54;Ж
528;Арсений Феофанович Кудрявцев;55;М
529;Одинцова Лукия Анатольевна;47;Ж
530;Мухин Чеслав Ефимьевич;63;М
531;Флорентин Даниилович Цветков;46;М
532;Гурьева Нина Вениаминовна;29;Ж
533;Фокина Агафья Харитоновна;32;Ж
534;Попов Игнатий Филиппович;61;М
535;Парфен Зиновьевич Комаров;38;М
536;Демид Федотович Юдин;39;М
537;Наркис Фомич Фокин;47;М
538;Комиссаров Всеслав Тихонович;47;М
539;Комаров Архип Эдуардович;50;М
540;Суворов Галактион Фадеевич;49;М
541;Фадей Викторович Семенов;40;М
542;Савелий Васильевич Блинов;47;М
543;Лавр Алексеевич Дьячков;48;М
544;Мишин Андрей Яковлевич;28;М
545;Миронова Анжела Ивановна;57;Ж
546;Светлана Игоревна Захарова;52;Ж
547;Федот Германович Кондратьев;43;М
548;Аким Борисович Красильников;60;М
549;Василий Викторович Смирнов;55;М
550;Феврония Афанасьевна Гуляева;60;Ж
551;Бобылев Евстафий Филимонович;46;М
552;Глафира Михайловна Гордеева;38;Ж
553;Софрон Ерофеевич Федотов;37;М
554;Борисов Устин Григорьевич;60;М
555;Шестакова Олимпиада Романовна;28;Ж
556;Субботина Людмила Эльдаровна;54;Ж
557;София Михайловна Максимова;57;Ж
558;Изяслав Якубович Беляев;37;М
559;Александра Аркадьевна Ситникова;57;Ж
560;Полина Мироновна Шарова;53;Ж
561;Силина Жанна Даниловна;52;Ж
562;Исаева Наина Наумовна;48;Ж
563;Зинаида Игоревна Бобылева;38;Ж
564;Пономарев Кондрат Венедиктович;39;М
565;Валентин Герасимович Лыткин;35;М
566;Алина Матвеевна Попова;28;Ж
567;Лидия Феликсовна Абрамова;38;Ж
568;Клавдий Эдгардович Зайцев;38;М
569;Филимон Вилорович Евсеев;59;М
570;Маркова Регина Артемовна;33;Ж
571;София Кузьминична Семенова;64;Ж
572;Евпраксия Михайловна Моисеева;37;Ж
573;Фомичева София Юльевна;25;Ж
574;Зосима Архипович Брагин;27;М
575;Варвара Вячеславовна Потапова;35;Ж
576;Фома Феодосьевич Самойлов;54;М
577;Тимофеева Ираида Яковлевна;56;Ж
578;Антонова Фёкла Наумовна;45;Ж
579;Одинцов Боян Андреевич;64;М
580;Громова Нонна Егоровна;42;Ж
581;Иванова Синклитикия Тарасовна;62;Ж
582;Волкова Майя Семеновна;41;Ж
583;Карп Ермолаевич Морозов;49;М
584;Леонтий Филиппович Зуев;49;М
585;Потапов Федосий Валерьянович;51;М
586;Яков Аксёнович Егоров;37;М
587;Арсений Арсенович Орехов;59;М
588;Наталья Кирилловна Воронцова;46;Ж
589;Самсонова Нонна Кирилловна;35;Ж
590;Сократ Жанович Шашков;40;М
591;Светлана Олеговна Журавлева;63;Ж
592;Силин Степан Аверьянович;44;М
593;Туров Виталий Бенедиктович;39;М
594;Лучезар Измаилович Меркушев;36;М
595;Марфа Матвеевна Меркушева;59;Ж
596;Архип Измаилович Сидоров;63;М
597;Зыкова Фаина Альбертовна;36;Ж
598;Всеслав Жоресович Симонов;55;М
599;Зиновьева Лукия Ждановна;65;Ж
600;Лариса Альбертовна Громова;43;Ж
601;Лебедева Галина Анатольевна;42;Ж
602;Брагин Севастьян Феликсович;57;М
603;Мефодий Архипович Галкин;41;М
604;Доронин Демид Архипович;56;М
605;Уваров Федор Адамович;30;М
606;Крылов Чеслав Харлампович;42;М
607;Меркушев Бронислав Брониславович;65;М
608;Константинова Ираида Максимовна;39;Ж
609;Панов Аскольд Трифонович;40;М
610;Галина Андреевна Смирнова;26;Ж
611;Калашников Максим Иларионович;46;М
612;Блинов Казимир Трифонович;61;М
613;Селиверстова Светлана Эльдаровна;53;Ж
614;Молчанов Савватий Геннадиевич;63;М
615;Вышеслав Владленович Новиков;36;М
616;Федоров Гремислав Георгиевич;27;М
617;Шарапов Тимур Ефремович;39;М
618;Журавлев Лучезар Гурьевич;32;М
619;Быков Ипполит Брониславович;48;М
620;Гусев Елисей Захарьевич;64;М
621;Казимир Герасимович Аксенов;33;М
622;Рогова Зинаида Семеновна;54;Ж
623;Игнатов Валерий Захарьевич;27;М
624;Зыкова Александра Ивановна;31;Ж
625;Ангелина Афанасьевна Брагина;26;Ж
626;Фокин Святослав Трофимович;64;М
627;Лора Робертовна Шарапова;27;Ж
628;Федот Антипович Васильев;37;М
629;Александров Якуб Трофимович;40;М
630;Владимирова Анжела Борисовна;64;Ж
631;Мечислав Федосьевич Щукин;56;М
632;Медведева Нина Юльевна;51;Ж
633;Жданов Тимур Ильич;48;М
634;Лаврентьева Евфросиния Харитоновна;25;Ж
635;Воронцова Наина Архиповна;62;Ж
